frame,x_7,y_7,x_8,y_8,x_11,y_11,x_12,y_12,x_13,y_13,x_14,y_14,x_15,y_15,x_16,y_16,x_23,y_23,x_24,y_24,x_25,y_25,x_26,y_26,x_27,y_27,x_28,y_28
0,0.3248552978038788,0.3869553804397583,0.2736928164958954,0.38736623525619507,0.37797167897224426,0.44855794310569763,0.22205758094787598,0.45576801896095276,0.45364829897880554,0.5184223055839539,0.14903096854686737,0.5216225385665894,0.4202846884727478,0.5805599689483643,0.14578647911548615,0.5895189642906189,0.3308642506599426,0.5940679907798767,0.23399634659290314,0.589894711971283,0.3259311020374298,0.7274746894836426,0.20939010381698608,0.7195979356765747,0.3323745131492615,0.8433343768119812,0.19346991181373596,0.8486701846122742
1,0.3266277015209198,0.3861953914165497,0.27361175417900085,0.3869461715221405,0.3781147301197052,0.4485878050327301,0.22175654768943787,0.4557613730430603,0.4540596008300781,0.5177560448646545,0.14902567863464355,0.5217369198799133,0.41940537095069885,0.5803869962692261,0.14547906816005707,0.590442419052124,0.3307651877403259,0.5990420579910278,0.2321230173110962,0.5949105620384216,0.3290294110774994,0.7298029661178589,0.2038210928440094,0.7229572534561157,0.3331149220466614,0.8436164855957031,0.1944335252046585,0.8484771847724915
2,0.32773905992507935,0.3856847882270813,0.2736463248729706,0.38635891675949097,0.3784084618091583,0.44853702187538147,0.2214818149805069,0.4556475579738617,0.4539984464645386,0.5165129899978638,0.1498340219259262,0.522005021572113,0.41736796498298645,0.5797747373580933,0.14548352360725403,0.590436577796936,0.3307066559791565,0.6002519130706787,0.2315945029258728,0.5959603190422058,0.3315448462963104,0.7297120690345764,0.19964352250099182,0.7233948707580566,0.3335091769695282,0.8436688184738159,0.1965312361717224,0.84834223985672
3,0.3279273509979248,0.3852843642234802,0.2736467719078064,0.3859776258468628,0.3786288797855377,0.44814905524253845,0.2214728742837906,0.4557783603668213,0.4531618356704712,0.515910267829895,0.15113116800785065,0.5225107073783875,0.4119654893875122,0.5797541737556458,0.14551028609275818,0.5901349782943726,0.33095434308052063,0.5999304056167603,0.23147732019424438,0.5958039164543152,0.33443954586982727,0.7283310890197754,0.19903060793876648,0.7220191359519958,0.3342761695384979,0.8436809778213501,0.19666838645935059,0.8472499847412109
4,0.32866746187210083,0.3848235607147217,0.2736259996891022,0.38538986444473267,0.3787704408168793,0.44751977920532227,0.2215820997953415,0.45580849051475525,0.45131489634513855,0.5155502557754517,0.1534823775291443,0.5229820013046265,0.40846914052963257,0.5782153606414795,0.14557047188282013,0.5903787612915039,0.3324839174747467,0.5998406410217285,0.23199613392353058,0.5965524911880493,0.3363666236400604,0.7277265787124634,0.19762450456619263,0.7217087745666504,0.3348769247531891,0.8436812162399292,0.1973113864660263,0.8453868627548218
5,0.3287285268306732,0.38437649607658386,0.2736363708972931,0.38499903678894043,0.37907928228378296,0.44601327180862427,0.22242371737957,0.4557436406612396,0.4498074948787689,0.5149613618850708,0.15683498978614807,0.5229555368423462,0.40485501289367676,0.5766257047653198,0.14555349946022034,0.5900796055793762,0.3338480293750763,0.5996605157852173,0.23342113196849823,0.5963045358657837,0.3377479016780853,0.7275302410125732,0.1937400996685028,0.71961909532547,0.3350526690483093,0.8440249562263489,0.19740597903728485,0.8415887951850891
6,0.3289144039154053,0.38390928506851196,0.2737567126750946,0.38456863164901733,0.3789388835430145,0.4452725350856781,0.2239716798067093,0.455702006816864,0.4491669833660126,0.5124889612197876,0.15949313342571259,0.5226203799247742,0.3999587595462799,0.5739601850509644,0.14583028852939606,0.5867635607719421,0.3338586091995239,0.5991874933242798,0.23481689393520355,0.5962485074996948,0.3381596803665161,0.726953387260437,0.18820324540138245,0.7172592878341675,0.3354167640209198,0.8443180322647095,0.19780436158180237,0.8400852084159851
7,0.3289313316345215,0.3830643892288208,0.27378442883491516,0.38391369581222534,0.3786327838897705,0.4440217614173889,0.22577203810214996,0.45554035902023315,0.44862717390060425,0.5111888647079468,0.16680458188056946,0.5221449136734009,0.3972264230251312,0.5725987553596497,0.14794988930225372,0.5833569765090942,0.33388468623161316,0.5987469553947449,0.23608478903770447,0.5961093306541443,0.3380802273750305,0.7262970209121704,0.1839480698108673,0.7155004143714905,0.3357084393501282,0.8443301916122437,0.19778810441493988,0.8391212224960327
8,0.32908815145492554,0.38255077600479126,0.27379775047302246,0.38372552394866943,0.37866902351379395,0.4437085688114166,0.22837744653224945,0.4554973244667053,0.44637933373451233,0.5111034512519836,0.16913262009620667,0.5221174955368042,0.389301598072052,0.5729533433914185,0.15052573382854462,0.5814428329467773,0.33386996388435364,0.5977038145065308,0.23732884228229523,0.5956913828849792,0.3378985524177551,0.7254860997200012,0.18188735842704773,0.7126087546348572,0.33609578013420105,0.8443257212638855,0.19798344373703003,0.8374038934707642
9,0.3291392922401428,0.3824404180049896,0.27380287647247314,0.3836389183998108,0.37648123502731323,0.4423021674156189,0.22964850068092346,0.4555032253265381,0.44279831647872925,0.510431170463562,0.16960057616233826,0.5225763916969299,0.38244059681892395,0.5727275609970093,0.15052708983421326,0.5815535187721252,0.33331263065338135,0.5961257219314575,0.2403659224510193,0.5947563648223877,0.3373340368270874,0.7235661745071411,0.1804570108652115,0.7084789276123047,0.33646461367607117,0.8443157076835632,0.19841766357421875,0.834520697593689
