frame,x_0,y_0,z_0,visibility_0,x_1,y_1,z_1,visibility_1,x_2,y_2,z_2,visibility_2,x_3,y_3,z_3,visibility_3,x_4,y_4,z_4,visibility_4,x_5,y_5,z_5,visibility_5,x_6,y_6,z_6,visibility_6,x_7,y_7,z_7,visibility_7,x_8,y_8,z_8,visibility_8,x_9,y_9,z_9,visibility_9,x_10,y_10,z_10,visibility_10,x_11,y_11,z_11,visibility_11,x_12,y_12,z_12,visibility_12,x_13,y_13,z_13,visibility_13,x_14,y_14,z_14,visibility_14,x_15,y_15,z_15,visibility_15,x_16,y_16,z_16,visibility_16,x_17,y_17,z_17,visibility_17,x_18,y_18,z_18,visibility_18,x_19,y_19,z_19,visibility_19,x_20,y_20,z_20,visibility_20,x_21,y_21,z_21,visibility_21,x_22,y_22,z_22,visibility_22,x_23,y_23,z_23,visibility_23,x_24,y_24,z_24,visibility_24,x_25,y_25,z_25,visibility_25,x_26,y_26,z_26,visibility_26,x_27,y_27,z_27,visibility_27,x_28,y_28,z_28,visibility_28,x_29,y_29,z_29,visibility_29,x_30,y_30,z_30,visibility_30,x_31,y_31,z_31,visibility_31,x_32,y_32,z_32,visibility_32
0,0.49177613854408264,0.3066180944442749,-0.22726234793663025,0.9999982118606567,0.5013338327407837,0.2958163619041443,-0.1997426599264145,0.999993085861206,0.5081822276115417,0.29562056064605713,-0.1997481733560562,0.9999924898147583,0.5131514668464661,0.2954797148704529,-0.19968797266483307,0.9999932050704956,0.4811401665210724,0.29614683985710144,-0.20146848261356354,0.9999927282333374,0.4738032817840576,0.29613035917282104,-0.20142219960689545,0.9999926090240479,0.467415988445282,0.29568248987197876,-0.2013109028339386,0.9999932050704956,0.5223584175109863,0.29971450567245483,-0.04961546137928963,0.9999814033508301,0.45804649591445923,0.3001515865325928,-0.0627509281039238,0.9999821186065674,0.5044176578521729,0.31795310974121094,-0.17208871245384216,0.9999958276748657,0.47881019115448,0.3187924027442932,-0.17522478103637695,0.999995231628418,0.589950442314148,0.36631783843040466,-0.005349593237042427,0.9999945163726807,0.4028209149837494,0.3725411295890808,0.011595282703638077,0.9999703168869019,0.6431939005851746,0.43241018056869507,0.04290025681257248,0.9944989085197449,0.374036967754364,0.44695407152175903,0.0699353739619255,0.9914602041244507,0.6843065023422241,0.4935179352760315,-0.10954169183969498,0.9963177442550659,0.3485885262489319,0.5209658145904541,-0.03152484819293022,0.9842848777770996,0.6964942812919617,0.5142173171043396,-0.15721699595451355,0.9912582039833069,0.3468398153781891,0.5427210330963135,-0.06774995476007462,0.9674103856086731,0.6875999569892883,0.5144467949867249,-0.20554330945014954,0.9918773174285889,0.3644874691963196,0.5416103005409241,-0.11720084398984909,0.9697307348251343,0.6799291968345642,0.5077558159828186,-0.13173730671405792,0.9902592897415161,0.3694809079170227,0.535626232624054,-0.05428747460246086,0.9686853885650635,0.5585426092147827,0.5265284180641174,-0.0025557330809533596,0.9998724460601807,0.45722532272338867,0.5268232822418213,0.0022366938646882772,0.9998059868812561,0.547171950340271,0.6486505270004272,-0.0546228252351284,0.9892385005950928,0.41584569215774536,0.6485605835914612,-0.034958720207214355,0.9876998662948608,0.5278088450431824,0.7500454187393188,0.20616231858730316,0.9826923608779907,0.38521572947502136,0.7502731680870056,0.19498229026794434,0.9772292375564575,0.5090183615684509,0.762296199798584,0.2224602997303009,0.7903082370758057,0.387937068939209,0.7619481682777405,0.20779171586036682,0.6747419238090515,0.5623189210891724,0.7891871929168701,0.04063023254275322,0.9704552292823792,0.37841856479644775,0.7912898063659668,0.020864594727754593,0.9623618721961975
1,0.49169158935546875,0.3066204786300659,-0.47738373279571533,0.999998152256012,0.5013351440429688,0.29594969749450684,-0.43819406628608704,0.9999929070472717,0.5081226229667664,0.2957647442817688,-0.43827030062675476,0.999992311000824,0.5130431652069092,0.29558682441711426,-0.4382641613483429,0.9999929666519165,0.4811048209667206,0.2961481511592865,-0.4440986216068268,0.999992311000824,0.47361400723457336,0.296125203371048,-0.44410738348960876,0.9999922513961792,0.46725213527679443,0.2956825792789459,-0.44406455755233765,0.9999926686286926,0.5224100947380066,0.2997596859931946,-0.20692387223243713,0.9999811053276062,0.4580502510070801,0.3001845180988312,-0.23816148936748505,0.9999809265136719,0.504314661026001,0.3181624114513397,-0.391063392162323,0.9999958872795105,0.4787983298301697,0.318852961063385,-0.4000396430492401,0.999995231628418,0.5891704559326172,0.3663458526134491,-0.0699932724237442,0.9999946355819702,0.40297627449035645,0.37249529361724854,-0.08518543839454651,0.9999684691429138,0.6440843939781189,0.4321911334991455,0.001115954015403986,0.9947869181632996,0.37403595447540283,0.4470237195491791,0.004150959197431803,0.9909905195236206,0.6844828128814697,0.49358946084976196,-0.25431716442108154,0.9963934421539307,0.34874993562698364,0.5212746858596802,-0.19108155369758606,0.983475923538208,0.6969592571258545,0.5143821835517883,-0.3240206241607666,0.9912660717964172,0.346930593252182,0.5427815914154053,-0.251859188079834,0.9658935070037842,0.6876692771911621,0.5146673917770386,-0.3930419087409973,0.9919219017028809,0.3644724190235138,0.5416563153266907,-0.3234642744064331,0.9683870077133179,0.6801866292953491,0.5078801512718201,-0.2870640158653259,0.9902076125144958,0.3694802522659302,0.535770833492279,-0.22333787381649017,0.966572642326355,0.55817711353302,0.526501476764679,0.002821763278916478,0.9998711347579956,0.45719990134239197,0.5268157124519348,-0.0029794378206133842,0.9997955560684204,0.5469913482666016,0.6494349837303162,-0.05455750226974487,0.9892882108688354,0.4166244566440582,0.6481606364250183,-0.05277623236179352,0.9879198670387268,0.5285450220108032,0.750865638256073,0.31338226795196533,0.9828505516052246,0.385284423828125,0.7514274716377258,0.2759319841861725,0.977903425693512,0.5133260488510132,0.7631551027297974,0.3364396095275879,0.7961083650588989,0.38815566897392273,0.7628551721572876,0.2950076758861542,0.6818656325340271,0.5614302754402161,0.7891563177108765,0.08692247420549393,0.9711869359016418,0.38165515661239624,0.7913731932640076,0.03442108631134033,0.9636582136154175
2,0.491401344537735,0.30660587549209595,-0.4803476631641388,0.9999980926513672,0.5012548565864563,0.29603061079978943,-0.4421292543411255,0.9999926090240479,0.5079609155654907,0.2958677411079407,-0.44220250844955444,0.9999920129776001,0.5127869248390198,0.2956761419773102,-0.44219639897346497,0.9999926686286926,0.48093825578689575,0.29614171385765076,-0.44746169447898865,0.999991774559021,0.47332847118377686,0.29609519243240356,-0.4474745988845825,0.9999917149543762,0.46700116991996765,0.2956657409667969,-0.4474368095397949,0.9999920725822449,0.5224149227142334,0.29982832074165344,-0.21502910554409027,0.9999805092811584,0.45805245637893677,0.30018559098243713,-0.24384477734565735,0.9999793767929077,0.5040183067321777,0.31823086738586426,-0.3955194652080536,0.9999958872795105,0.47865307331085205,0.3188539743423462,-0.4037840962409973,0.9999951124191284,0.5885334014892578,0.3663642704486847,-0.07919734716415405,0.9999947547912598,0.4030170142650604,0.3723933696746826,-0.09129469096660614,0.9999666810035706,0.6441325545310974,0.43209242820739746,-0.0028145054820924997,0.9950341582298279,0.3736833333969116,0.4470551013946533,-0.0002372728195041418,0.9905821084976196,0.6844773292541504,0.49362531304359436,-0.24801911413669586,0.9964556694030762,0.3487599194049835,0.521215558052063,-0.1917363703250885,0.9828340411186218,0.697547197341919,0.5143093466758728,-0.3147970139980316,0.9912595748901367,0.34627872705459595,0.54261314868927,-0.2506992220878601,0.9646685123443604,0.6880574822425842,0.5146000385284424,-0.3830924928188324,0.991949200630188,0.3625297546386719,0.5415607690811157,-0.32161593437194824,0.9673126935958862,0.6805378198623657,0.5078212022781372,-0.28009307384490967,0.990147054195404,0.3685693144798279,0.5356944799423218,-0.22369562089443207,0.964860737323761,0.55775386095047,0.5263424515724182,0.004458238836377859,0.9998687505722046,0.45676952600479126,0.5265901684761047,-0.004584071226418018,0.9997835159301758,0.5466916561126709,0.6494621634483337,-0.05480298027396202,0.9892553091049194,0.4167664349079132,0.6478356122970581,-0.05859994888305664,0.9880027770996094,0.5290071964263916,0.7513863444328308,0.3085763156414032,0.9829033613204956,0.3852839469909668,0.7527060508728027,0.2742944061756134,0.9783033728599548,0.5154687762260437,0.7637749314308167,0.3306601941585541,0.7999693751335144,0.3882024586200714,0.763810396194458,0.29274818301200867,0.6860532164573669,0.5607114434242249,0.7891258001327515,0.0822024792432785,0.9717020392417908,0.3832201361656189,0.7914713025093079,0.033249564468860626,0.964558482170105
3,0.4907240569591522,0.30660077929496765,-0.49599072337150574,0.9999980926513672,0.5007967352867126,0.2960697114467621,-0.4584277272224426,0.9999924898147583,0.5075496435165405,0.2959291338920593,-0.45848584175109863,0.9999919533729553,0.5122339129447937,0.2957405745983124,-0.45847439765930176,0.9999926090240479,0.4804345369338989,0.29612836241722107,-0.463614821434021,0.9999915361404419,0.4728536903858185,0.2960599958896637,-0.46363741159439087,0.9999914765357971,0.46654582023620605,0.29564687609672546,-0.4636137783527374,0.9999917149543762,0.522296130657196,0.29992610216140747,-0.23071998357772827,0.9999804496765137,0.4579930603504181,0.3001824915409088,-0.25928449630737305,0.9999786019325256,0.503153383731842,0.31833088397979736,-0.4104447662830353,0.9999960064888,0.47799649834632874,0.31887325644493103,-0.41872644424438477,0.9999951124191284,0.5874470472335815,0.36649957299232483,-0.08882398903369904,0.9999948740005493,0.40280112624168396,0.37201422452926636,-0.10745617747306824,0.9999661445617676,0.6431383490562439,0.43230634927749634,-0.0008827731944620609,0.995263934135437,0.37184712290763855,0.4470521807670593,-0.012584068812429905,0.9903175830841064,0.6840730905532837,0.49615350365638733,-0.23181690275669098,0.9965236186981201,0.34783053398132324,0.5212167501449585,-0.1976424604654312,0.982304036617279,0.6981632113456726,0.5162180662155151,-0.29451802372932434,0.9912906289100647,0.3434869647026062,0.5426110029220581,-0.2551669478416443,0.9636210203170776,0.6886730790138245,0.5165453553199768,-0.36458620429039,0.9920068383216858,0.35735052824020386,0.5415647625923157,-0.3270621597766876,0.9664011001586914,0.6808446049690247,0.5101741552352905,-0.2640400230884552,0.990136981010437,0.3644583523273468,0.5357528328895569,-0.22999222576618195,0.9634350538253784,0.557282030582428,0.5263304114341736,0.007022913079708815,0.999869167804718,0.45558086037635803,0.5265367031097412,-0.007145013194531202,0.999779999256134,0.5463027358055115,0.6495358347892761,-0.05344301834702492,0.9892750382423401,0.4160790741443634,0.6478357315063477,-0.06282126158475876,0.9881948828697205,0.5291455388069153,0.7517343759536743,0.3216608166694641,0.983012855052948,0.38525548577308655,0.7534271478652954,0.28167200088500977,0.9787513613700867,0.5162705183029175,0.7641704082489014,0.34481391310691833,0.8040511012077332,0.3882964253425598,0.7643038630485535,0.301516056060791,0.6905526518821716,0.5600691437721252,0.7890706658363342,0.09698508679866791,0.9722944498062134,0.38385650515556335,0.7915109395980835,0.041084613651037216,0.965515673160553
4,0.48976564407348633,0.30657967925071716,-0.5674299597740173,0.9999980926513672,0.49990907311439514,0.2961002290248871,-0.5297377109527588,0.9999925494194031,0.5068568587303162,0.29597413539886475,-0.5297816395759583,0.9999920725822449,0.511522650718689,0.2957804799079895,-0.5297626256942749,0.9999926686286926,0.47950220108032227,0.29610615968704224,-0.534576952457428,0.9999914169311523,0.47212961316108704,0.2960053086280823,-0.5346168279647827,0.9999914169311523,0.4658137559890747,0.2956087291240692,-0.5346053838729858,0.9999914765357971,0.5217763185501099,0.2999334931373596,-0.2932063937187195,0.9999808669090271,0.45775696635246277,0.30009689927101135,-0.3202483654022217,0.999978244304657,0.5020333528518677,0.3183361887931824,-0.4783158600330353,0.9999961853027344,0.4771486520767212,0.3188709318637848,-0.4862520098686218,0.999995231628418,0.5859927535057068,0.3666958510875702,-0.1343591958284378,0.9999950528144836,0.4023093283176422,0.3713664710521698,-0.15980227291584015,0.9999662041664124,0.6408612728118896,0.4336276650428772,-0.04182925075292587,0.9955422878265381,0.3669887185096741,0.44703125953674316,-0.06120133027434349,0.9902626276016235,0.683338463306427,0.5055382251739502,-0.28575679659843445,0.9966307282447815,0.34421661496162415,0.521483302116394,-0.24830889701843262,0.9819348454475403,0.6982987523078918,0.5273683667182922,-0.35037654638290405,0.9914130568504333,0.33983540534973145,0.5429523587226868,-0.30734696984291077,0.9627630114555359,0.6886682510375977,0.5272561311721802,-0.42540520429611206,0.9921475052833557,0.3514569103717804,0.5419932007789612,-0.3824918568134308,0.9656680822372437,0.6808416843414307,0.5220789909362793,-0.3200181722640991,0.9902551174163818,0.35858726501464844,0.5365767478942871,-0.2819109261035919,0.9621919393539429,0.555750846862793,0.5260834097862244,0.01362074725329876,0.9998699426651001,0.45213860273361206,0.5259181261062622,-0.013774307444691658,0.9997777938842773,0.5457864999771118,0.6495031118392944,-0.04729815199971199,0.9892617464065552,0.415466845035553,0.6477600932121277,-0.07563471049070358,0.9885897040367126,0.5292377471923828,0.7521060109138489,0.33324384689331055,0.9832501411437988,0.3851443827152252,0.7537795901298523,0.27986985445022583,0.9793241620063782,0.5167744755744934,0.7646456360816956,0.3558913469314575,0.8094325661659241,0.38828036189079285,0.7645488977432251,0.3003028333187103,0.6956135034561157,0.5596544742584229,0.7890118360519409,0.10165330767631531,0.9730286598205566,0.3845575153827667,0.7915376424789429,0.038902148604393005,0.9665946364402771
5,0.48778456449508667,0.3065829575061798,-0.634554922580719,0.999998152256012,0.4979042112827301,0.29621046781539917,-0.5979613661766052,0.9999927282333374,0.5050656795501709,0.29610079526901245,-0.5979833006858826,0.999992311000824,0.5102011561393738,0.29592347145080566,-0.5979542136192322,0.999992847442627,0.47754809260368347,0.29612666368484497,-0.6012560129165649,0.9999914765357971,0.4707276523113251,0.2960126996040344,-0.6013056039810181,0.9999914765357971,0.4640912711620331,0.2956446707248688,-0.6012893319129944,0.9999914169311523,0.5201565623283386,0.30001792311668396,-0.3586388826370239,0.9999815225601196,0.45695579051971436,0.3000970780849457,-0.3786385953426361,0.9999781847000122,0.49990516901016235,0.31838223338127136,-0.5441089868545532,0.9999963641166687,0.4752517640590668,0.3189336359500885,-0.5500301122665405,0.9999954104423523,0.5850992202758789,0.3678916394710541,-0.19140112400054932,0.999995231628418,0.4009767770767212,0.37115201354026794,-0.20731227099895477,0.9999666213989258,0.6381365060806274,0.4391350746154785,-0.10048692673444748,0.9958320260047913,0.3598054349422455,0.44716525077819824,-0.10324247181415558,0.990267813205719,0.6820140480995178,0.5144365429878235,-0.3499452769756317,0.9967471361160278,0.3388357162475586,0.521683394908905,-0.29066967964172363,0.9816427230834961,0.6966065764427185,0.5385230183601379,-0.41577979922294617,0.9915623068809509,0.3347223997116089,0.5429950952529907,-0.35072362422943115,0.9619529247283936,0.6857410669326782,0.5378199815750122,-0.49187523126602173,0.9923090934753418,0.3449803292751312,0.5420464277267456,-0.42611655592918396,0.9649571776390076,0.6790523529052734,0.5321581363677979,-0.38438907265663147,0.9904153347015381,0.3521195352077484,0.5367922782897949,-0.324367880821228,0.9609816670417786,0.5533575415611267,0.5260781049728394,0.014757925644516945,0.9998726844787598,0.4488680064678192,0.5257898569107056,-0.014948302879929543,0.9997794032096863,0.5447578430175781,0.6495048999786377,-0.03930507227778435,0.9893012642860413,0.41482454538345337,0.6477225422859192,-0.07360122352838516,0.9890788793563843,0.5292493104934692,0.7523738145828247,0.36176779866218567,0.9835925102233887,0.3853023946285248,0.7537261247634888,0.31552958488464355,0.9799662232398987,0.5169624090194702,0.765020489692688,0.3865300118923187,0.815916121006012,0.38836491107940674,0.7645405530929565,0.3397916257381439,0.7027453184127808,0.559466540813446,0.7889944314956665,0.12938714027404785,0.973901093006134,0.38547804951667786,0.791527509689331,0.07368778437376022,0.967771053314209
6,0.48556628823280334,0.30655670166015625,-0.6406129002571106,0.999998152256012,0.49579352140426636,0.2962142527103424,-0.605276882648468,0.999992847442627,0.5030165910720825,0.2961120009422302,-0.605305552482605,0.9999924898147583,0.5088041424751282,0.2959490418434143,-0.6052714586257935,0.9999929666519165,0.47534218430519104,0.29611289501190186,-0.6078331470489502,0.9999914765357971,0.46885618567466736,0.2959964871406555,-0.6078819036483765,0.9999914169311523,0.46180030703544617,0.2956458628177643,-0.6078689098358154,0.999991238117218,0.5184484124183655,0.300066202878952,-0.37088915705680847,0.9999820590019226,0.455701619386673,0.30009621381759644,-0.3881811797618866,0.9999779462814331,0.4978613257408142,0.31838735938072205,-0.5519800186157227,0.999996542930603,0.4731117784976959,0.31894415616989136,-0.5570907592773438,0.9999955296516418,0.5842617750167847,0.36916375160217285,-0.20757825672626495,0.9999954104423523,0.3993068337440491,0.3709701895713806,-0.2216511368751526,0.9999672174453735,0.6329871416091919,0.4432806372642517,-0.12925876677036285,0.9960789680480957,0.3546300232410431,0.4471706748008728,-0.12407676130533218,0.9903149604797363,0.6775627136230469,0.5213219523429871,-0.3826485872268677,0.9968484044075012,0.33137190341949463,0.5220125317573547,-0.3107561767101288,0.9813664555549622,0.6892038583755493,0.5439944267272949,-0.4511570930480957,0.9917046427726746,0.3279726207256317,0.5436831116676331,-0.37082237005233765,0.9612779021263123,0.67759108543396,0.5434271693229675,-0.5248163342475891,0.9924570918083191,0.338585764169693,0.5426931381225586,-0.44630324840545654,0.9643396139144897,0.6713220477104187,0.5375778079032898,-0.4161889851093292,0.990566074848175,0.34523484110832214,0.5375014543533325,-0.3445136845111847,0.9599622488021851,0.5510255694389343,0.5259613990783691,0.01932946778833866,0.9998740553855896,0.4457870423793793,0.5255365371704102,-0.019533801823854446,0.999778687953949,0.5430407524108887,0.6492258310317993,-0.02565024420619011,0.9889295697212219,0.4147965610027313,0.6473444104194641,-0.07031944394111633,0.9894278645515442,0.5292940735816956,0.7524903416633606,0.3597674071788788,0.9835485816001892,0.38570302724838257,0.753721296787262,0.30580365657806396,0.9803580641746521,0.5170963406562805,0.7653566002845764,0.3828449547290802,0.8216126561164856,0.38840606808662415,0.7645143270492554,0.32804396748542786,0.7080608010292053,0.5593240261077881,0.788965106010437,0.13063795864582062,0.974255383014679,0.38887378573417664,0.7912729382514954,0.06483907997608185,0.9684262871742249
7,0.48487943410873413,0.30662477016448975,-0.6180205345153809,0.9999980926513672,0.4948071241378784,0.2963091731071472,-0.5834329128265381,0.9999927282333374,0.5020676255226135,0.2962000370025635,-0.5834782719612122,0.9999924302101135,0.5079574584960938,0.29601752758026123,-0.5834454298019409,0.999992847442627,0.474471777677536,0.29617395997047424,-0.5855442881584167,0.9999911785125732,0.4681169390678406,0.2960488200187683,-0.585595965385437,0.9999911189079285,0.46087807416915894,0.2957526445388794,-0.5856014490127563,0.9999907612800598,0.5169728398323059,0.30009400844573975,-0.3560172915458679,0.9999818801879883,0.45466992259025574,0.30013421177864075,-0.37153807282447815,0.999977171421051,0.4967145323753357,0.3186541199684143,-0.5321752429008484,0.9999966025352478,0.47218143939971924,0.319255530834198,-0.5367429256439209,0.9999955892562866,0.5836528539657593,0.36992499232292175,-0.20016318559646606,0.9999954104423523,0.3969244360923767,0.37092894315719604,-0.21693897247314453,0.9999679327011108,0.627144455909729,0.4473823606967926,-0.1344655305147171,0.9962500929832458,0.35200658440589905,0.44753509759902954,-0.13322626054286957,0.9904263019561768,0.6694629192352295,0.5233859419822693,-0.3869350552558899,0.9969015717506409,0.3233664333820343,0.5234795808792114,-0.31815996766090393,0.9813734292984009,0.6788219213485718,0.5460502505302429,-0.4558681547641754,0.9917547106742859,0.3203674256801605,0.5456700325012207,-0.37798041105270386,0.9612006545066833,0.6671836972236633,0.5455993413925171,-0.5268210768699646,0.992516040802002,0.3300623893737793,0.544992983341217,-0.4524431824684143,0.9642642140388489,0.6611830592155457,0.5396758317947388,-0.4197138845920563,0.9906185865402222,0.33557549118995667,0.539514422416687,-0.351689875125885,0.9596642255783081,0.5473153591156006,0.5263428092002869,0.02469617873430252,0.9998719692230225,0.44329339265823364,0.5257733464241028,-0.024887755513191223,0.9997751712799072,0.5421031713485718,0.648693323135376,-0.00884232111275196,0.9883590936660767,0.4149310290813446,0.646863579750061,-0.06551212817430496,0.989714503288269,0.5300544500350952,0.7525869607925415,0.3467303514480591,0.9833664298057556,0.38677164912223816,0.7542703747749329,0.2899653911590576,0.9808719158172607,0.5177624225616455,0.7657811045646667,0.36707454919815063,0.8279467821121216,0.3888733386993408,0.7650294303894043,0.3098878860473633,0.7150862216949463,0.559994101524353,0.7889624238014221,0.12107239663600922,0.9743590354919434,0.39227813482284546,0.7907811999320984,0.04596203193068504,0.9690872430801392
8,0.4849613904953003,0.3068815767765045,-0.6194177865982056,0.9999980330467224,0.49478569626808167,0.2967299818992615,-0.5825589299201965,0.9999926090240479,0.5020111799240112,0.2966534197330475,-0.5826022624969482,0.9999923706054688,0.5077278017997742,0.2965051531791687,-0.582561731338501,0.9999927282333374,0.4744867980480194,0.29642850160598755,-0.5874220132827759,0.9999908804893494,0.4680924415588379,0.2962509095668793,-0.587468147277832,0.9999908208847046,0.46088486909866333,0.29599708318710327,-0.5874860286712646,0.9999902248382568,0.5162848234176636,0.3005684018135071,-0.3435417711734772,0.9999814033508301,0.4541788697242737,0.30028003454208374,-0.37223923206329346,0.999976396560669,0.4967088997364044,0.31912779808044434,-0.5291581749916077,0.9999966025352478,0.4721220135688782,0.31957563757896423,-0.5376021265983582,0.9999955892562866,0.5802427530288696,0.37039679288864136,-0.17875464260578156,0.9999954104423523,0.3943083882331848,0.37093251943588257,-0.2151840776205063,0.9999688863754272,0.61591637134552,0.44783633947372437,-0.10394541174173355,0.9963048696517944,0.348814994096756,0.4476359784603119,-0.12265845388174057,0.990638017654419,0.6545171737670898,0.5227898359298706,-0.35611259937286377,0.9969210028648376,0.3169662356376648,0.5239099860191345,-0.29843857884407043,0.981728732585907,0.6663297414779663,0.5455248355865479,-0.42357081174850464,0.9917563199996948,0.3103744685649872,0.5461684465408325,-0.3565787076950073,0.9618131518363953,0.6563180088996887,0.5453544855117798,-0.4959094226360321,0.9925318956375122,0.31950515508651733,0.5457698106765747,-0.433622270822525,0.9648398160934448,0.648619532585144,0.5396181344985962,-0.3896470069885254,0.9905937910079956,0.3250196576118469,0.5402580499649048,-0.3327052891254425,0.9601081013679504,0.5421828627586365,0.5267590880393982,0.03364461660385132,0.9998717308044434,0.4411107301712036,0.5258175730705261,-0.033821724355220795,0.999776303768158,0.5408722758293152,0.6479400396347046,0.005889195017516613,0.9877365231513977,0.41508567333221436,0.6463028192520142,-0.06465864181518555,0.9899163246154785,0.5300960540771484,0.7526541352272034,0.34086117148399353,0.9833493232727051,0.3890956938266754,0.7541705965995789,0.289496511220932,0.9814527630805969,0.5177080035209656,0.7662892937660217,0.3593796491622925,0.8361944556236267,0.39066144824028015,0.7647053599357605,0.30637243390083313,0.7228615880012512,0.5618125200271606,0.7890085577964783,0.11482766270637512,0.9748529195785522,0.39348381757736206,0.7905073761940002,0.022311242297291756,0.9700262546539307
9,0.4857039451599121,0.30831456184387207,-0.6023045778274536,0.9999980330467224,0.49516725540161133,0.2980393171310425,-0.5642505884170532,0.9999925494194031,0.5021319389343262,0.29808005690574646,-0.5642926692962646,0.999992311000824,0.5077542662620544,0.29810261726379395,-0.5642568469047546,0.9999926090240479,0.4753333628177643,0.2976561188697815,-0.5704859495162964,0.999990701675415,0.46861183643341064,0.2974991202354431,-0.5705240964889526,0.9999905228614807,0.46171149611473083,0.29725176095962524,-0.5705409646034241,0.9999898076057434,0.5161522030830383,0.3019768297672272,-0.3227884769439697,0.9999810457229614,0.45419082045555115,0.30118876695632935,-0.35843077301979065,0.9999759793281555,0.49689677357673645,0.32026219367980957,-0.5113303065299988,0.999996542930603,0.4723878502845764,0.3205454647541046,-0.5218592286109924,0.9999955892562866,0.5767316818237305,0.37221187353134155,-0.1612756997346878,0.999995231628418,0.39244991540908813,0.37095561623573303,-0.20308002829551697,0.9999696612358093,0.6055676937103271,0.45027756690979004,-0.09332845360040665,0.996196985244751,0.34196555614471436,0.44741886854171753,-0.11655762046575546,0.9908722639083862,0.6440945267677307,0.5259668827056885,-0.3236565589904785,0.9968228936195374,0.3123284578323364,0.5229047536849976,-0.29221296310424805,0.9819629192352295,0.6566170454025269,0.5478215217590332,-0.3881891965866089,0.9914801716804504,0.3023790717124939,0.5449612736701965,-0.3506813645362854,0.9620742797851562,0.6479697227478027,0.547537088394165,-0.4578303098678589,0.9922928214073181,0.3116288185119629,0.5445785522460938,-0.42433294653892517,0.9650881886482239,0.6403622627258301,0.5418688654899597,-0.3555227816104889,0.9902491569519043,0.3179493248462677,0.5392905473709106,-0.3255336284637451,0.9602447748184204,0.5371577739715576,0.5275489687919617,0.03522544726729393,0.9998723864555359,0.43848779797554016,0.5260498523712158,-0.03539755195379257,0.9997807145118713,0.5394798517227173,0.6478938460350037,0.0022318593692034483,0.9876750111579895,0.4151283800601959,0.6462939381599426,-0.06486454606056213,0.9902794361114502,0.5300896167755127,0.7524021863937378,0.3550960123538971,0.983709990978241,0.3913269340991974,0.7539997696876526,0.2838027775287628,0.9823638796806335,0.5175338983535767,0.7660845518112183,0.3756655752658844,0.8451025485992432,0.3927009701728821,0.7638404369354248,0.3017180562019348,0.7334820032119751,0.5624082088470459,0.789028525352478,0.13313506543636322,0.9758232831954956,0.3931037187576294,0.790397047996521,0.024397678673267365,0.9714941382408142
